Kanji,Rank,Occurrences,Frequency,Cumulative Frequency
種,323,661141,0.0007704206373322,0.6640418230310315
常,324,658494,0.0007673361161377,0.6648091591471693
移,325,655622,0.0007639894048153,0.6655731485519847
彼,326,654118,0.000762236809471,0.6663353853614558
久,327,652705,0.0007605902554673,0.6670959756169231
支,328,651366,0.0007590299328835,0.6678550055498067
族,329,651193,0.0007588283378073,0.6686138338876141
津,330,648778,0.000756014163767,0.6693698480513811
良,331,648627,0.0007558382050589,0.6701256862564401
党,332,645533,0.0007522327994769,0.670877919055917
命,333,640008,0.0007457945752233,0.6716237136311403
再,334,634404,0.0007392642931025,0.6723629779242428
死,335,634234,0.0007390661938947,0.6731020441181376
青,336,628592,0.0007324916307745,0.6738345357489122
森,337,627195,0.0007308637214022,0.6745653994703144
師,338,621578,0.0007243182905185,0.6752897177608329
河,339,620502,0.000723064439062,0.6760127821998949
曜,340,620051,0.0007225388935166,0.6767353210934115
夫,341,617327,0.0007193646450339,0.6774546857384455
沢,342,616525,0.0007184300828889,0.6781731158213343
調,343,613118,0.0007144599417066,0.6788875757630409
衆,344,612406,0.0007136302556127,0.6796012060186537
可,345,611905,0.0007130464455944,0.6803142524642481
止,346,610026,0.0007108568667035,0.6810251093309516
司,347,608412,0.0007089760895188,0.6817340854204704
装,348,604771,0.0007047332706034,0.6824388186910739
引,349,603811,0.0007036145927241,0.683142433283798
督,350,603443,0.0007031857662036,0.6838456190500016
両,351,601232,0.0007006093112127,0.6845462283612144
十,352,600897,0.0007002189392444,0.6852464473004588
劇,353,598703,0.0006976622941743,0.6859441095946331
配,354,598621,0.0006975667404388,0.686641676335072
題,355,597673,0.0006964620460329,0.6873381383811049
存,356,597043,0.0006957279136746,0.6880338662947795
艦,357,595670,0.0006941279712492,0.6887279942660287
字,358,595007,0.0006933553843387,0.6894213496503675
呼,359,588520,0.0006857961516269,0.6901071458019944
情,360,588297,0.0006855362920778,0.6907926820940722
伊,361,586559,0.0006835110190004,0.6914761931130726
声,362,583373,0.0006797984067882,0.692155991519861
果,363,583324,0.0006797413076048,0.6928357328274658
試,364,581867,0.000678043480865,0.6935137763083309
花,365,579375,0.0006751395795365,0.6941889158878675
衛,366,578349,0.0006739439925529,0.6948628598804204
強,367,578278,0.0006738612570014,0.6955367211374218
八,368,577195,0.0006725992485188,0.6962093203859406
奈,369,576085,0.0006713057772208,0.6968806261631615
四,370,572847,0.0006675325699568,0.6975481587331184
港,371,571909,0.0006664395284455,0.698214598261564
浜,372,570420,0.0006647044124431,0.6988793026740071
洋,373,568862,0.000662888891468,0.6995421915654751
万,374,563762,0.0006569459152339,0.700199137480709
構,375,563154,0.0006562374192436,0.7008553748999528
住,376,560560,0.0006532146583905,0.7015085895583433
級,377,560344,0.0006529629558676,0.702161552514211
論,378,557751,0.0006499413603039,0.7028114938745149
着,379,555779,0.0006476434094933,0.7034591372840083
先,380,555558,0.0006473858805232,0.7041065231645316
達,381,548867,0.0006395889287619,0.7047461120932936
風,382,547879,0.0006384376227778,0.7053845497160715
横,383,545954,0.0006361944405717,0.7060207441566433
博,384,535583,0.0006241092236063,0.7066448533802496
料,385,535533,0.0006240509591334,0.707268904339383
退,386,534460,0.0006228006035453,0.7078917049429284
件,387,532891,0.0006209722643862,0.7085126772073147
管,388,528999,0.000616436957817,0.7091291141651317
色,389,528391,0.0006157284618267,0.7097448426269585
林,390,528178,0.0006154802551722,0.7103603228821308
器,391,526036,0.0006129842051539,0.7109733070872848
施,392,525490,0.00061234795711,0.7115856550443949
庫,393,525437,0.0006122861967688,0.7121979412411636
条,394,523336,0.0006098379236182,0.7128077791647819
親,395,522721,0.0006091212706017,0.7134169004353836
春,396,521359,0.0006075341463604,0.7140244345817441
修,397,520163,0.000606140460169,0.7146305750419132
考,398,519680,0.000605577625361,0.7152361526672742
状,399,517775,0.0006033577489441,0.7158395104162184
予,400,517036,0.0006024966000349,0.7164420070162534
雄,401,515624,0.0006008512113207,0.7170428582275741
清,402,512746,0.0005974975082615,0.7176403557358356
米,403,512679,0.0005974194338678,0.7182377751697036
室,404,511376,0.0005959010617045,0.7188336762314081
旧,405,508070,0.0005920486147574,0.7194257248461656
岩,406,506990,0.0005907901021432,0.7200165149483089
富,407,506980,0.0005907784492486,0.7206072933975575
五,408,504083,0.0005874026056897,0.7211946960032473
座,409,503422,0.0005866323493582,0.7217813283526056
判,410,503174,0.0005863433575727,0.7223676717101783
乗,411,502527,0.0005855894152936,0.722953261125472
防,412,500725,0.0005834895636909,0.7235367506891629
起,413,499230,0.0005817474559517,0.7241184981451146
領,414,498276,0.000580635769809,0.7246991339149237
査,415,498078,0.0005804050424964,0.7252795389574201
徳,416,497245,0.0005794343563782,0.7258589733137983
航,417,496591,0.0005786722570729,0.7264376455708713
殺,418,496417,0.0005784694967072,0.7270161150675786
降,419,495114,0.0005769511245439,0.7275930661921225
之,420,494864,0.0005766598021795,0.7281697259943021
限,421,492929,0.0005744049670789,0.728744130961381
省,422,492523,0.0005739318595591,0.7293180628209401
応,423,491132,0.0005723109419235,0.7298903737628637
半,424,490961,0.0005721116774262,0.7304624854402899
列,425,490312,0.0005713554045682,0.7310338408448581
船,426,489999,0.0005709906689679,0.731604831513826
類,427,489070,0.0005699081150617,0.7321747396288878
問,428,487166,0.0005676894039343,0.7327424290328222
波,429,486710,0.0005671580319417,0.7333095870647639
央,430,482589,0.0005623558740866,0.7338719429388506
皇,431,481964,0.0005616275681756,0.7344335705070262
帝,432,481375,0.000560941212685,0.7349945117197112
巻,433,477656,0.0005566075011919,0.7355511192209032
商,434,477414,0.0005563255011432,0.7361074447220465
周,435,477009,0.0005558535589128,0.7366632982809593
挙,436,476796,0.0005556053522583,0.7372189036332177
里,437,476593,0.0005553687984984,0.7377742724317162
医,438,476485,0.000555242947237,0.7383295153789533
打,439,475213,0.0005537606990468,0.7388832760780002
香,440,474775,0.0005532503022644,0.7394365263802646
歳,441,474546,0.0005529834509786,0.7399895098312432
争,442,474262,0.0005526525087726,0.7405421623400159
介,443,473658,0.0005519486739402,0.7410941110139562
芸,444,472194,0.0005502426901741,0.7416443537041304
尾,445,470661,0.0005484563014355,0.742192810005566
認,446,467869,0.0005452028132697,0.7427380128188358
示,447,467599,0.0005448881851162,0.743282901003952
将,448,465249,0.0005421497548906,0.7438250507588426
頭,449,464215,0.0005409448455914,0.7443659956044341
氏,450,463367,0.0005399566801313,0.7449059522845655
志,451,463007,0.0005395371759265,0.745445489460492
反,452,459773,0.0005357686298204,0.7459812580903126
食,453,459463,0.0005354073900886,0.7465166654804012
速,454,457018,0.0005325582573646,0.7470492237377658
影,455,457008,0.00053254660447,0.7475817703422358
専,456,456970,0.0005325023234706,0.7481142726657065
黒,457,456820,0.0005323275300519,0.7486466001957585
株,458,455716,0.0005310410504907,0.7491776412462492
投,459,453928,0.0005289575129404,0.7497065987591897
警,460,453203,0.0005281126780836,0.7502347114372733
