Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
義,214,968252,0.0011282938479661,0.5615405839787522,0.5615405839787413
古,215,960265,0.0011189866810677,0.56265957065982,0.562659570659809
運,216,958029,0.0011163810938404,0.5637759517536604,0.5637759517536494
球,217,956024,0.0011140446884778,0.5648899964421381,0.5648899964421271
受,218,953496,0.0011110988367288,0.5660010952788669,0.5660010952788559
置,219,952828,0.0011103204233711,0.567111415702238,0.567111415702227
崎,220,948172,0.0011048948356561,0.5682163105378942,0.5682163105378831
朝,221,947339,0.0011039241495379,0.5693202346874322,0.569320234687421
隊,222,943223,0.0010991278181301,0.5704193625055624,0.5704193625055511
有,223,941927,0.001097617602993,0.5715169801085555,0.5715169801085441
総,224,938035,0.0010930822964238,0.5726100624049792,0.5726100624049679
言,225,937569,0.0010925392715365,0.5737026016765158,0.5737026016765044
活,226,936738,0.0010915709159972,0.574794172592513,0.5747941725925017
来,227,934257,0.0010886798328527,0.5758828524253657,0.5758828524253543
不,228,932719,0.0010868876176668,0.5769697400430326,0.5769697400430212
安,229,928720,0.0010822276251256,0.5780519676681583,0.5780519676681467
谷,230,925551,0.0010785348228342,0.5791305024909925,0.5791305024909809
園,231,922570,0.0010750610949609,0.5802055635859535,0.5802055635859418
録,232,918750,0.0010706096892326,0.5812761732751862,0.5812761732751743
愛,233,913378,0.001064349754266,0.5823405230294523,0.5823405230294403
術,234,912044,0.0010627952581295,0.5834033182875819,0.5834033182875697
持,235,910690,0.0010612174562038,0.5844645357437858,0.5844645357437736
真,236,905977,0.0010557254469898,0.5855202611907756,0.5855202611907634
交,237,903272,0.0010525733390068,0.5865728345297825,0.5865728345297702
変,238,892970,0.0010405685270139,0.5876134030567964,0.5876134030567841
産,239,889798,0.0010368722288542,0.5886502752856507,0.5886502752856383
路,240,887218,0.0010338657820534,0.5896841410677042,0.5896841410676917
技,241,886285,0.0010327785669894,0.5907169196346936,0.5907169196346811
武,242,883917,0.0010300191615537,0.5917469387962474,0.5917469387962347
阪,243,883238,0.0010292279300119,0.5927761667262593,0.5927761667262467
馬,244,878369,0.0010235541356425,0.5937997208619019,0.5937997208618891
利,245,878266,0.0010234341108284,0.5948231549727303,0.5948231549727175
指,246,877611,0.0010226708462336,0.595845825818964,0.5958458258189512
系,247,865841,0.0010089553893169,0.5968547812082808,0.5968547812082681
橋,248,864206,0.0010070501410536,0.5978618313493345,0.5978618313493217
研,249,863815,0.0010065945128756,0.5988684258622101,0.5988684258621972
佐,250,860487,0.0010027164295605,0.5998711422917706,0.5998711422917578
戸,251,857764,0.0009995433463673,0.600870685638138,0.6008706856381251
別,252,857177,0.0009988593214556,0.6018695449595937,0.6018695449595807
近,253,857000,0.0009986530652216,0.6028681980248153,0.6028681980248023
局,254,853109,0.0009941189239418,0.6038623169487571,0.603862316948744
光,255,851844,0.0009926448327779,0.6048549617815351,0.604854961781522
登,256,847804,0.0009879370633689,0.605842898844904,0.6058428988448908
型,257,843247,0.0009826268393103,0.6068255256842144,0.6068255256842011
続,258,841655,0.0009807716984937,0.6078062973827082,0.6078062973826949
史,259,831549,0.0009689952832345,0.6087752926659428,0.6087752926659293
相,260,828678,0.0009656497372015,0.6097409424031444,0.6097409424031308
付,261,822518,0.0009584715541423,0.6106994139572867,0.6106994139572731
門,262,822144,0.0009580357358851,0.6116574496931718,0.6116574496931583
店,263,811545,0.0009456848329233,0.6126031345260952,0.6126031345260816
決,264,810126,0.0009440312871829,0.6135471658132781,0.6135471658132645
要,265,810110,0.0009440126425516,0.6144911784558297,0.6144911784558161
府,266,805520,0.0009386639639409,0.6154298424197706,0.6154298424197571
進,267,797300,0.0009290852845988,0.6163589277043695,0.6163589277043559
覧,268,796704,0.0009283907720821,0.6172873184764516,0.6172873184764379
始,269,792845,0.0009238939200649,0.6182112123965166,0.6182112123965028
計,270,788496,0.0009188260762135,0.6191300384727301,0.6191300384727163
流,271,786718,0.0009167541915578,0.6200467926642879,0.6200467926642741
心,272,785899,0.000915799819492,0.6209625924837798,0.6209625924837661
任,273,782583,0.0009119357196503,0.6218745282034303,0.6218745282034164
報,274,782537,0.0009118821163353,0.6227864103197656,0.6227864103197517
育,275,781298,0.0009104383226972,0.6236968486424628,0.6236968486424489
無,276,776476,0.0009048192969323,0.6246016679393952,0.6246016679393812
約,277,770385,0.0008977215188457,0.6254993894582409,0.6254993894582269
改,278,769502,0.0008966925682546,0.6263960820264955,0.6263960820264816
土,279,768700,0.0008957580061095,0.6272918400326051,0.6272918400325911
属,280,768695,0.0008957521796622,0.6281875922122674,0.6281875922122533
終,281,767574,0.0008944458901802,0.6290820381024477,0.6290820381024335
吉,282,766888,0.0008936465016122,0.62997568460406,0.6299756846040456
究,283,763596,0.0008898103687176,0.6308654949727776,0.6308654949727632
少,284,761948,0.0008878899716913,0.631753384944469,0.6317533849444545
得,285,761385,0.0008872339137267,0.6326406188581957,0.6326406188581812
製,286,761298,0.0008871325335439,0.6335277513917396,0.6335277513917251
寺,287,751559,0.0008757837795156,0.6344035351712553,0.6344035351712407
造,288,750857,0.0008749657463163,0.6352785009175717,0.635278500917557
江,289,750790,0.0008748876719227,0.6361533885894943,0.6361533885894797
英,290,748414,0.0008721189441713,0.6370255075336656,0.637025507533651
基,291,742183,0.0008648580255605,0.6378903655592262,0.6378903655592114
参,292,741303,0.0008638325708378,0.638754198130064,0.6387541981300492
